"longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value","ocean_proximity"
-122.23,37.88,41,880,129,322,126,8.3252,452600,"NEAR BAY"
-122.22,37.86,21,7099,1106,2401,1138,8.3014,358500,"NEAR BAY"
-122.24,37.85,52,1467,190,496,177,7.2574,352100,"NEAR BAY"
-122.25,37.85,52,1274,235,558,219,5.6431,341300,"NEAR BAY"
-122.25,37.85,52,1627,280,565,259,3.8462,342200,"NEAR BAY"
-122.25,37.85,52,919,213,413,193,4.0368,269700,"NEAR BAY"
-122.25,37.84,52,2535,489,1094,514,3.6591,299200,"NEAR BAY"
-122.25,37.84,52,3104,687,1157,647,3.12,241400,"NEAR BAY"
-122.26,37.84,42,2555,665,1206,595,2.0804,226700,"NEAR BAY"
-122.25,37.84,52,3549,707,1551,714,3.6912,261100,"NEAR BAY"
-122.26,37.85,52,2202,434,910,402,3.2031,281500,"NEAR BAY"
-122.26,37.85,52,3503,752,1504,734,3.2705,241800,"NEAR BAY"
-122.26,37.85,52,2491,474,1098,468,3.075,213500,"NEAR BAY"
-122.26,37.84,52,696,191,345,174,2.6736,191300,"NEAR BAY"
-122.26,37.85,52,2643,626,1212,620,1.9167,159200,"NEAR BAY"
-122.26,37.85,50,1120,283,697,264,2.125,140000,"NEAR BAY"
-122.27,37.85,52,1966,347,793,331,2.775,152500,"NEAR BAY"
-122.27,37.85,52,1228,293,648,303,2.1202,155500,"NEAR BAY"
-122.26,37.84,50,2239,455,990,419,1.9911,158700,"NEAR BAY"
-122.27,37.84,52,1503,298,690,275,2.6033,162900,"NEAR BAY"
-122.27,37.85,40,751,184,409,166,1.3578,147500,"NEAR BAY"
-122.27,37.85,42,1639,367,929,366,1.7135,159800,"NEAR BAY"
-122.27,37.84,52,2436,541,1015,478,1.725,113900,"NEAR BAY"
-122.27,37.84,52,1688,337,853,325,2.1806,99700,"NEAR BAY"
-122.27,37.84,52,2224,437,1006,422,2.6,132600,"NEAR BAY"
-122.28,37.85,41,535,123,317,119,2.4038,107500,"NEAR BAY"
-122.28,37.85,49,1130,244,607,239,2.4597,93800,"NEAR BAY"
-122.28,37.85,52,1898,421,1102,397,1.808,105500,"NEAR BAY"
-122.28,37.84,50,2082,492,1131,473,1.6424,108900,"NEAR BAY"
-122.28,37.84,52,729,160,395,155,1.6875,132000,"NEAR BAY"
-122.28,37.84,49,1916,447,863,378,1.9274,122300,"NEAR BAY"
-122.28,37.84,52,2153,481,1168,441,1.9615,115200,"NEAR BAY"
-122.27,37.84,48,1922,409,1026,335,1.7969,110400,"NEAR BAY"
-122.27,37.83,49,1655,366,754,329,1.375,104900,"NEAR BAY"
-122.27,37.83,51,2665,574,1258,536,2.7303,109700,"NEAR BAY"
-122.27,37.83,49,1215,282,570,264,1.4861,97200,"NEAR BAY"
-122.27,37.83,48,1798,432,987,374,1.0972,104500,"NEAR BAY"
-122.28,37.83,52,1511,390,901,403,1.4103,103900,"NEAR BAY"
-122.26,37.83,52,1470,330,689,309,3.48,191400,"NEAR BAY"
-122.26,37.83,52,2432,715,1377,696,2.5898,176000,"NEAR BAY"
-122.26,37.83,52,1665,419,946,395,2.0978,155400,"NEAR BAY"
-122.26,37.83,51,936,311,517,249,1.2852,150000,"NEAR BAY"
